# 4U stacked sim, Hornresp
freq,value
20,101.5
20.73,102.1
21.49,102.7
22.28,103.3
23.1,103.8
23.94,104.4
24.82,104.9
25.73,105.5
26.67,106
27.65,106.6
28.66,107.1
29.71,107.6
30.8,108.1
31.93,108.6
33.1,109.1
34.31,109.5
35.57,110
36.87,110.4
38.22,110.8
39.62,111.2
41.07,111.5
42.58,111.8
44.13,112
45.75,112.1
47.43,112.2
49.16,112.2
50.97,112.3
52.83,112.3
54.77,112.3
56.77,112.3
58.85,112.4
61.01,112.4
63.25,112.5
65.56,112.5
67.96,112.6
70.45,112.6
73.03,112.7
75.71,112.7
78.48,112.8
81.36,112.8
84.34,112.8
87.43,112.8
90.63,112.9
93.95,112.9
97.39,112.9
100.96,112.9
104.66,112.9
108.49,112.9
112.47,112.9
116.59,113
120.86,113
125.29,113
129.88,113
134.63,113
139.57,113
144.68,113
149.98,113
155.47,113
161.17,113
167.07,113
173.19,113
179.54,113
186.11,113
192.93,113
200,113
