# meas 1u
freq,value
20,73.6
20.73,75.2
21.49,76.7
22.28,78.3
23.1,79.9
23.94,81.4
24.82,82.9
25.73,84.5
26.67,86
27.65,87.5
28.66,89
29.71,90.5
30.8,91.9
31.93,93.2
33.1,94.5
34.31,95.7
35.57,96.8
36.87,97.8
38.22,98.6
39.62,99.3
41.07,99.8
42.58,100.2
44.13,100.6
45.75,100.8
47.43,101
49.16,101.1
50.97,101.1
52.83,101.2
54.77,101.2
56.77,101.2
58.85,101.1
61.01,101.1
63.25,101
65.56,100.9
67.96,100.7
70.45,100.6
73.03,100.4
75.71,100.2
78.48,99.9
81.36,99.6
84.34,99.3
87.43,98.8
90.63,98.4
93.95,97.9
97.39,97.3
100.96,96.7
104.66,96.1
108.49,95.4
112.47,94.7
116.59,93.9
120.86,93.1
125.29,92.3
129.88,91.5
134.63,90.6
139.57,89.8
144.68,88.9
149.98,88
155.47,87.1
161.17,86.2
167.07,85.3
173.19,84.4
179.54,83.4
186.11,82.5
192.93,81.6
200,80.7
