# spl 1u
freq,value
20,74.1
20.73,75.7
21.49,77.2
22.28,78.8
23.1,80.4
23.94,81.9
24.82,83.4
25.73,85
26.67,86.5
27.65,88
28.66,89.5
29.71,91
30.8,92.4
31.93,93.7
33.1,95
34.31,96.2
35.57,97.3
36.87,98.3
38.22,99.1
39.62,99.8
41.07,100.3
42.58,100.7
44.13,101.1
45.75,101.3
47.43,101.5
49.16,101.6
50.97,101.6
52.83,101.7
54.77,101.7
56.77,101.7
58.85,101.6
61.01,101.6
63.25,101.5
65.56,101.4
67.96,101.2
70.45,101.1
73.03,100.9
75.71,100.7
78.48,100.4
81.36,100.1
84.34,99.8
87.43,99.3
90.63,98.9
93.95,98.4
97.39,97.8
100.96,97.2
104.66,96.6
108.49,95.9
112.47,95.2
116.59,94.4
120.86,93.6
125.29,92.8
129.88,92
134.63,91.1
139.57,90.3
144.68,89.4
149.98,88.5
155.47,87.6
161.17,86.7
167.07,85.8
173.19,84.9
179.54,83.9
186.11,83
192.93,82.1
200,81.2
