# 4U 4x21 stacked sim, Hornresp
freq,value
20,104.2
20.73,104.8
21.49,105.3
22.28,105.8
23.1,106.3
23.94,106.8
24.82,107.3
25.73,107.8
26.67,108.2
27.65,108.7
28.66,109.1
29.71,109.5
30.8,109.9
31.93,110.3
33.1,110.6
34.31,110.9
35.57,111.1
36.87,111.3
38.22,111.4
39.62,111.5
41.07,111.5
42.58,111.5
44.13,111.5
45.75,111.5
47.43,111.5
49.16,111.5
50.97,111.5
52.83,111.6
54.77,111.6
56.77,111.7
58.85,111.7
61.01,111.8
63.25,111.8
65.56,111.8
67.96,111.8
70.45,111.9
73.03,111.9
75.71,111.9
78.48,111.9
81.36,111.9
84.34,111.9
87.43,111.9
90.63,111.9
93.95,112
97.39,112
100.96,112
104.66,112
108.49,112
112.47,112
116.59,112
120.86,112
125.29,112
129.88,112
134.63,112
139.57,112
144.68,112
149.98,112
155.47,112
161.17,112
167.07,112
173.19,112
179.54,112
186.11,112
192.93,112
200,112
