# spl drv-b 1u
freq,value
20,88.9
20.73,89.5
21.49,90.1
22.28,90.7
23.1,91.2
23.94,91.8
24.82,92.3
25.73,92.9
26.67,93.4
27.65,93.9
28.66,94.5
29.71,95
30.8,95.5
31.93,96
33.1,96.4
34.31,96.9
35.57,97.4
36.87,97.8
38.22,98.2
39.62,98.6
41.07,99
42.58,99.3
44.13,99.6
45.75,99.9
47.43,100
49.16,100.1
50.97,100.2
52.83,100.2
54.77,100.2
56.77,100.2
58.85,100.2
61.01,100.3
63.25,100.3
65.56,100.3
67.96,100.4
70.45,100.4
73.03,100.5
75.71,100.5
78.48,100.5
81.36,100.6
84.34,100.6
87.43,100.6
90.63,100.7
93.95,100.7
97.39,100.7
100.96,100.7
104.66,100.7
108.49,100.7
112.47,100.7
116.59,100.7
120.86,100.8
125.29,100.8
129.88,100.8
134.63,100.8
139.57,100.8
144.68,100.8
149.98,100.8
155.47,100.8
161.17,100.8
167.07,100.8
173.19,100.8
179.54,100.8
186.11,100.8
192.93,100.8
200,100.8
