# meas 1u
freq,value
20,83.4
20.73,85
21.49,86.5
22.28,88.1
23.1,89.6
23.94,91.1
24.82,92.6
25.73,94.1
26.67,95.6
27.65,97
28.66,98.4
29.71,99.6
30.8,100.8
31.93,101.9
33.1,102.9
34.31,103.7
35.57,104.4
36.87,104.9
38.22,105.3
39.62,105.6
41.07,105.9
42.58,106
44.13,106.2
45.75,106.2
47.43,106.3
49.16,106.3
50.97,106.3
52.83,106.4
54.77,106.3
56.77,106.3
58.85,106.3
61.01,106.3
63.25,106.2
65.56,106.2
67.96,106.1
70.45,106
73.03,105.9
75.71,105.7
78.48,105.6
81.36,105.4
84.34,105.2
87.43,104.9
90.63,104.6
93.95,104.2
97.39,103.8
100.96,103.4
104.66,102.9
108.49,102.3
112.47,101.7
116.59,101
120.86,100.4
125.29,99.6
129.88,98.9
134.63,98.1
139.57,97.3
144.68,96.4
149.98,95.6
155.47,94.7
161.17,93.8
167.07,92.9
173.19,92
179.54,91.1
186.11,90.2
192.93,89.3
200,88.4
