# spl 1u
freq,value
20,79.9
20.73,81.5
21.49,83
22.28,84.6
23.1,86.1
23.94,87.6
24.82,89.1
25.73,90.6
26.67,92.1
27.65,93.5
28.66,94.9
29.71,96.1
30.8,97.3
31.93,98.4
33.1,99.4
34.31,100.2
35.57,100.9
36.87,101.4
38.22,101.8
39.62,102.1
41.07,102.4
42.58,102.5
44.13,102.7
45.75,102.7
47.43,102.8
49.16,102.8
50.97,102.8
52.83,102.9
54.77,102.8
56.77,102.8
58.85,102.8
61.01,102.8
63.25,102.7
65.56,102.7
67.96,102.6
70.45,102.5
73.03,102.4
75.71,102.2
78.48,102.1
81.36,101.9
84.34,101.7
87.43,101.4
90.63,101.1
93.95,100.7
97.39,100.3
100.96,99.9
104.66,99.4
108.49,98.8
112.47,98.2
116.59,97.5
120.86,96.9
125.29,96.1
129.88,95.4
134.63,94.6
139.57,93.8
144.68,92.9
149.98,92.1
155.47,91.2
161.17,90.3
167.07,89.4
173.19,88.5
179.54,87.6
186.11,86.7
192.93,85.8
200,84.9
