# meas 1u
freq,value
20,59.6
20.73,61.1
21.49,62.7
22.28,64.3
23.1,65.8
23.94,67.4
24.82,68.9
25.73,70.5
26.67,72.1
27.65,73.6
28.66,75.2
29.71,76.7
30.8,78.3
31.93,79.9
33.1,81.4
34.31,83
35.57,84.5
36.87,86
38.22,87.6
39.62,89.1
41.07,90.6
42.58,92.1
44.13,93.5
45.75,94.9
47.43,96.2
49.16,97.4
50.97,98.5
52.83,99.5
54.77,100.4
56.77,101.1
58.85,101.7
61.01,102.1
63.25,102.4
65.56,102.7
67.96,102.9
70.45,103
73.03,103
75.71,103.1
78.48,103.1
81.36,103
84.34,102.9
87.43,102.9
90.63,102.7
93.95,102.6
97.39,102.4
100.96,102.2
104.66,101.9
108.49,101.6
112.47,101.2
116.59,100.8
120.86,100.4
125.29,99.9
129.88,99.3
134.63,98.7
139.57,98.1
144.68,97.4
149.98,96.7
155.47,95.9
161.17,95.1
167.07,94.3
173.19,93.5
179.54,92.6
186.11,91.8
192.93,90.9
200,90
