# spl 1u
freq,value
20,60.1
20.73,61.6
21.49,63.2
22.28,64.8
23.1,66.3
23.94,67.9
24.82,69.4
25.73,71
26.67,72.6
27.65,74.1
28.66,75.7
29.71,77.2
30.8,78.8
31.93,80.4
33.1,81.9
34.31,83.5
35.57,85
36.87,86.5
38.22,88.1
39.62,89.6
41.07,91.1
42.58,92.6
44.13,94
45.75,95.4
47.43,96.7
49.16,97.9
50.97,99
52.83,100
54.77,100.9
56.77,101.6
58.85,102.2
61.01,102.6
63.25,102.9
65.56,103.2
67.96,103.4
70.45,103.5
73.03,103.5
75.71,103.6
78.48,103.6
81.36,103.5
84.34,103.4
87.43,103.4
90.63,103.2
93.95,103.1
97.39,102.9
100.96,102.7
104.66,102.4
108.49,102.1
112.47,101.7
116.59,101.3
120.86,100.9
125.29,100.4
129.88,99.8
134.63,99.2
139.57,98.6
144.68,97.9
149.98,97.2
155.47,96.4
161.17,95.6
167.07,94.8
173.19,94
179.54,93.1
186.11,92.3
192.93,91.4
200,90.5
