# meas 1u
freq,value
20,83.5
20.73,83.8
21.49,84.1
22.28,84.4
23.1,84.6
23.94,84.9
24.82,85.2
25.73,85.5
26.67,85.7
27.65,86
28.66,86.3
29.71,86.5
30.8,86.8
31.93,87.1
33.1,87.3
34.31,87.6
35.57,87.8
36.87,88.1
38.22,88.3
39.62,88.5
41.07,88.8
42.58,89
44.13,89.2
45.75,89.4
47.43,89.6
49.16,89.9
50.97,90.1
52.83,90.3
54.77,90.4
56.77,90.6
58.85,90.8
61.01,91
63.25,91.2
65.56,91.3
67.96,91.5
70.45,91.6
73.03,91.8
75.71,91.9
78.48,92.1
81.36,92.2
84.34,92.3
87.43,92.4
90.63,92.6
93.95,92.7
97.39,92.8
100.96,92.9
104.66,93
108.49,93.1
112.47,93.1
116.59,93.2
120.86,93.3
125.29,93.4
129.88,93.4
134.63,93.5
139.57,93.6
144.68,93.6
149.98,93.7
155.47,93.7
161.17,93.8
167.07,93.8
173.19,93.9
179.54,93.9
186.11,94
192.93,94
200,94
