# fk-th-18b sim 1U horn
freq,value
20,79.9
20.73,81.5
21.49,83
22.28,84.6
23.1,86.1
23.94,87.6
24.82,89.1
25.73,90.6
26.67,92.1
27.65,93.5
28.66,94.9
29.71,96.1
30.8,97.3
31.93,98.4
33.1,99.4
34.31,100.2
35.57,100.9
36.87,101.4
38.22,101.8
39.62,102.1
41.07,102.4
42.58,102.6
44.13,102.7
45.75,102.8
47.43,102.8
49.16,102.9
50.97,102.9
52.83,102.9
54.77,102.9
56.77,102.9
58.85,102.9
61.01,102.9
63.25,102.9
65.56,102.9
67.96,102.9
70.45,102.9
73.03,102.9
75.71,102.8
78.48,102.8
81.36,102.7
84.34,102.7
87.43,102.6
90.63,102.5
93.95,102.4
97.39,102.3
100.96,102.1
104.66,102
108.49,101.7
112.47,101.5
116.59,101.2
120.86,100.8
125.29,100.4
129.88,100
134.63,99.5
139.57,99
144.68,98.4
149.98,97.7
155.47,97.1
161.17,96.3
167.07,95.6
173.19,94.8
179.54,94
186.11,93.2
192.93,92.3
200,91.5
