# fk-th-21 sim 1U horn
freq,value
20,89.2
20.73,90.7
21.49,92.2
22.28,93.7
23.1,95.1
23.94,96.4
24.82,97.6
25.73,98.8
26.67,99.8
27.65,100.7
28.66,101.5
29.71,102.1
30.8,102.6
31.93,103
33.1,103.3
34.31,103.5
35.57,103.6
36.87,103.7
38.22,103.8
39.62,103.9
41.07,103.9
42.58,103.9
44.13,103.9
45.75,104
47.43,104
49.16,104
50.97,104
52.83,104
54.77,104
56.77,103.9
58.85,103.9
61.01,103.9
63.25,103.9
65.56,103.9
67.96,103.9
70.45,103.8
73.03,103.8
75.71,103.7
78.48,103.7
81.36,103.6
84.34,103.5
87.43,103.4
90.63,103.3
93.95,103.1
97.39,102.9
100.96,102.7
104.66,102.4
108.49,102.1
112.47,101.8
116.59,101.3
120.86,100.9
125.29,100.4
129.88,99.8
134.63,99.2
139.57,98.6
144.68,97.9
149.98,97.2
155.47,96.4
161.17,95.6
167.07,94.8
173.19,94
179.54,93.1
186.11,92.3
192.93,91.4
200,90.5
