# fk-th-21b meas 1U
freq,value
20,91.7
20.73,93.2
21.49,94.6
22.28,96
23.1,97.3
23.94,98.5
24.82,99.6
25.73,100.6
26.67,101.5
27.65,102.2
28.66,102.8
29.71,103.3
30.8,103.6
31.93,103.9
33.1,104.1
34.31,104.2
35.57,104.3
36.87,104.4
38.22,104.5
39.62,104.5
41.07,104.5
42.58,104.5
44.13,104.6
45.75,104.6
47.43,104.6
49.16,104.6
50.97,104.6
52.83,104.5
54.77,104.5
56.77,104.5
58.85,104.5
61.01,104.5
63.25,104.5
65.56,104.4
67.96,104.4
70.45,104.3
73.03,104.3
75.71,104.2
78.48,104.1
81.36,104
84.34,103.9
87.43,103.7
90.63,103.5
93.95,103.3
97.39,103
100.96,102.7
104.66,102.3
108.49,101.9
112.47,101.5
116.59,101
120.86,100.4
125.29,99.8
129.88,99.2
134.63,98.5
139.57,97.8
144.68,97
149.98,96.2
155.47,95.4
161.17,94.6
167.07,93.7
173.19,92.8
179.54,92
186.11,91.1
192.93,90.2
200,89.3
