# fk-top-10-coax-2w LF section sim
freq,value
40,82.7
42.59,83.7
45.35,84.7
48.29,85.7
51.42,86.6
54.75,87.6
58.3,88.4
62.07,89.2
66.09,90
70.38,90.7
74.93,91.4
79.79,92
84.96,92.5
90.46,92.9
96.32,93.3
102.56,93.6
109.21,93.9
116.28,94.1
123.82,94.3
131.84,94.4
140.38,94.6
149.48,94.7
159.16,94.7
169.47,94.8
180.45,94.8
192.14,94.9
204.59,94.9
217.84,94.9
231.96,94.9
246.98,95
262.98,95
280.02,95
298.16,95
317.48,95
338.05,95
359.95,95
383.27,95
408.1,95
434.54,95
462.69,95
492.67,95
524.58,95
558.57,95
594.76,95
633.29,95
674.32,95
718,95
764.52,95
814.05,95
866.79,95
922.95,95
982.74,95
1046.41,95
1114.2,95
1186.38,95
1263.25,95
1345.09,95
1432.23,95
1525.02,95
1623.82,95
1729.02,95
1841.03,95
1960.31,94.9
2087.31,94.9
2222.54,94.8
2366.52,94.7
2519.84,94.5
2683.09,94.2
2856.92,93.7
3042.01,93
3239.09,92
3448.93,90.8
3672.38,89.4
3910.3,87.7
4163.63,85.8
4433.37,83.9
4720.59,81.8
5026.42,79.7
5352.06,77.6
5698.8,75.4
6068,73.3
6461.13,71.1
6879.72,68.9
7325.42,66.8
7800.01,64.6
8305.34,62.4
8843.41,60.2
9416.34,58
10026.39,55.9
10675.96,53.7
11367.61,51.5
12104.07,49.3
12888.24,47.1
13723.22,45
14612.29,42.8
15558.96,40.6
16566.97,38.4
17640.27,36.2
18783.12,34
20000,31.9
