# fk-top-12-2w HF section sim
freq,value
40,45.2
42.59,46.3
45.35,47.4
48.29,48.5
51.42,49.6
54.75,50.7
58.3,51.8
62.07,52.9
66.09,54
70.38,55.1
74.93,56.1
79.79,57.2
84.96,58.3
90.46,59.4
96.32,60.5
102.56,61.6
109.21,62.7
116.28,63.8
123.82,64.9
131.84,66
140.38,67
149.48,68.1
159.16,69.2
169.47,70.3
180.45,71.4
192.14,72.5
204.59,73.6
217.84,74.7
231.96,75.8
246.98,76.8
262.98,77.9
280.02,79
298.16,80.1
317.48,81.2
338.05,82.3
359.95,83.3
383.27,84.4
408.1,85.5
434.54,86.5
462.69,87.6
492.67,88.6
524.58,89.7
558.57,90.7
594.76,91.7
633.29,92.7
674.32,93.6
718,94.5
764.52,95.4
814.05,96.2
866.79,97
922.95,97.7
982.74,98.4
1046.41,99
1114.2,99.5
1186.38,99.9
1263.25,100.3
1345.09,100.6
1432.23,100.9
1525.02,101.1
1623.82,101.3
1729.02,101.4
1841.03,101.6
1960.31,101.7
2087.31,101.7
2222.54,101.8
2366.52,101.8
2519.84,101.9
2683.09,101.9
2856.92,101.9
3042.01,101.9
3239.09,102
3448.93,102
3672.38,102
3910.3,102
4163.63,102
4433.37,102
4720.59,102
5026.42,102
5352.06,102
5698.8,102
6068,102
6461.13,102
6879.72,102
7325.42,102
7800.01,102
8305.34,102
8843.41,102
9416.34,102
10026.39,102
10675.96,101.9
11367.61,101.9
12104.07,101.8
12888.24,101.7
13723.22,101.5
14612.29,101.2
15558.96,100.8
16566.97,100.2
17640.27,99.3
18783.12,98.2
20000,96.8
