# fk-top-15-3w MF section sim
freq,value
40,64.3
42.59,65.4
45.35,66.5
48.29,67.6
51.42,68.7
54.75,69.8
58.3,70.9
62.07,71.9
66.09,73
70.38,74.1
74.93,75.2
79.79,76.3
84.96,77.4
90.46,78.5
96.32,79.6
102.56,80.6
109.21,81.7
116.28,82.8
123.82,83.9
131.84,85
140.38,86
149.48,87.1
159.16,88.1
169.47,89.2
180.45,90.2
192.14,91.2
204.59,92.2
217.84,93.2
231.96,94.1
246.98,95
262.98,95.8
280.02,96.6
298.16,97.4
317.48,98.1
338.05,98.7
359.95,99.2
383.27,99.7
408.1,100.1
434.54,100.5
462.69,100.8
492.67,101
524.58,101.2
558.57,101.4
594.76,101.5
633.29,101.6
674.32,101.7
718,101.8
764.52,101.8
814.05,101.9
866.79,101.9
922.95,101.9
982.74,101.9
1046.41,101.9
1114.2,102
1186.38,102
1263.25,102
1345.09,102
1432.23,102
1525.02,102
1623.82,102
1729.02,102
1841.03,102
1960.31,102
2087.31,101.9
2222.54,101.9
2366.52,101.8
2519.84,101.7
2683.09,101.5
2856.92,101.2
3042.01,100.8
3239.09,100.1
3448.93,99.2
3672.38,98.1
3910.3,96.7
4163.63,95
4433.37,93.2
4720.59,91.2
5026.42,89.2
5352.06,87.1
5698.8,85
6068,82.8
6461.13,80.7
6879.72,78.5
7325.42,76.3
7800.01,74.2
8305.34,72
8843.41,69.8
9416.34,67.6
10026.39,65.4
10675.96,63.3
11367.61,61.1
12104.07,58.9
12888.24,56.7
13723.22,54.5
14612.29,52.3
15558.96,50.2
16566.97,48
17640.27,45.8
18783.12,43.6
20000,41.4
