# 1U LF section sim, Hornresp
freq,value
40,90
42.59,90.9
45.35,91.8
48.29,92.7
51.42,93.5
54.75,94.2
58.3,94.9
62.07,95.6
66.09,96.1
70.38,96.6
74.93,97.1
79.79,97.4
84.96,97.7
90.46,98
96.32,98.2
102.56,98.4
109.21,98.5
116.28,98.6
123.82,98.7
131.84,98.8
140.38,98.8
149.48,98.8
159.16,98.9
169.47,98.9
180.45,98.9
192.14,98.9
204.59,99
217.84,99
231.96,99
246.98,99
262.98,99
280.02,99
298.16,99
317.48,99
338.05,99
359.95,99
383.27,99
408.1,99
434.54,99
462.69,99
492.67,99
524.58,99
558.57,99
594.76,99
633.29,99
674.32,99
718,99
764.52,99
814.05,99
866.79,99
922.95,99
982.74,99
1046.41,99
1114.2,99
1186.38,98.9
1263.25,98.9
1345.09,98.8
1432.23,98.7
1525.02,98.5
1623.82,98.2
1729.02,97.8
1841.03,97.2
1960.31,96.3
2087.31,95.2
2222.54,93.8
2366.52,92.1
2519.84,90.3
2683.09,88.4
2856.92,86.4
3042.01,84.3
3239.09,82.2
3448.93,80
3672.38,77.9
3910.3,75.7
4163.63,73.5
4433.37,71.3
4720.59,69.2
5026.42,67
5352.06,64.8
5698.8,62.6
6068,60.4
6461.13,58.3
6879.72,56.1
7325.42,53.9
7800.01,51.7
8305.34,49.5
8843.41,47.4
9416.34,45.2
10026.39,43
10675.96,40.8
11367.61,38.6
12104.07,36.4
12888.24,34.3
13723.22,32.1
14612.29,29.9
15558.96,27.7
16566.97,25.5
17640.27,23.4
18783.12,21.2
20000,19
