# 1U combined 3-way measured, REW
freq,value
40,91.7
42.59,92.6
45.35,93.5
48.29,94.4
51.42,95.2
54.75,95.9
58.3,96.6
62.07,97.3
66.09,97.8
70.38,98.3
74.93,98.8
79.79,99.1
84.96,99.4
90.46,99.7
96.32,99.9
102.56,100.1
109.21,100.2
116.28,100.3
123.82,100.4
131.84,100.5
140.38,100.5
149.48,100.5
159.16,100.6
169.47,100.6
180.45,100.6
192.14,100.6
204.59,100.6
217.84,100.6
231.96,100.6
246.98,100.6
262.98,100.5
280.02,100.4
298.16,100.3
317.48,100.1
338.05,99.7
359.95,99.1
383.27,98.4
408.1,97.5
434.54,97.5
462.69,97.6
492.67,97.6
524.58,97.6
558.57,97.6
594.76,97.6
633.29,97.7
674.32,97.7
718,97.7
764.52,98.2
814.05,99.1
866.79,100
922.95,100.8
982.74,101.6
1046.41,102.3
1114.2,103
1186.38,103.6
1263.25,104.1
1345.09,104.6
1432.23,105
1525.02,105.3
1623.82,105.6
1729.02,105.8
1841.03,106
1960.31,106.1
2087.31,106.2
2222.54,106.3
2366.52,106.4
2519.84,106.5
2683.09,106.5
2856.92,106.6
3042.01,106.6
3239.09,106.6
3448.93,106.6
3672.38,106.7
3910.3,106.7
4163.63,106.7
4433.37,106.7
4720.59,106.7
5026.42,106.7
5352.06,106.7
5698.8,106.7
6068,106.7
6461.13,106.7
6879.72,106.7
7325.42,106.7
7800.01,106.7
8305.34,106.7
8843.41,106.7
9416.34,106.7
10026.39,106.7
10675.96,106.6
11367.61,106.6
12104.07,106.5
12888.24,106.4
13723.22,106.2
14612.29,105.9
15558.96,105.5
16566.97,104.9
17640.27,104
18783.12,102.9
20000,101.5
