# 1U LF section (15") sim, Hornresp
freq,value
40,92
42.59,92.9
45.35,93.8
48.29,94.7
51.42,95.5
54.75,96.2
58.3,96.9
62.07,97.6
66.09,98.1
70.38,98.6
74.93,99.1
79.79,99.4
84.96,99.7
90.46,100
96.32,100.2
102.56,100.4
109.21,100.5
116.28,100.6
123.82,100.7
131.84,100.8
140.38,100.8
149.48,100.8
159.16,100.9
169.47,100.9
180.45,100.9
192.14,100.9
204.59,100.9
217.84,100.9
231.96,100.9
246.98,100.9
262.98,100.8
280.02,100.7
298.16,100.6
317.48,100.4
338.05,100
359.95,99.4
383.27,98.7
408.1,97.6
434.54,96.3
462.69,94.8
492.67,93
524.58,91.1
558.57,89.1
594.76,87
633.29,84.9
674.32,82.8
718,80.6
764.52,78.5
814.05,76.3
866.79,74.1
922.95,71.9
982.74,69.8
1046.41,67.6
1114.2,65.4
1186.38,63.2
1263.25,61
1345.09,58.9
1432.23,56.7
1525.02,54.5
1623.82,52.3
1729.02,50.1
1841.03,48
1960.31,45.8
2087.31,43.6
2222.54,41.4
2366.52,39.2
2519.84,37.1
2683.09,34.9
2856.92,32.7
3042.01,30.5
3239.09,28.3
3448.93,26.2
3672.38,24
3910.3,21.8
4163.63,19.6
4433.37,17.4
4720.59,15.2
5026.42,13.1
5352.06,10.9
5698.8,8.7
6068,6.5
6461.13,4.3
6879.72,2.2
7325.42,0
7800.01,-2.2
8305.34,-4.4
8843.41,-6.6
9416.34,-8.7
10026.39,-10.9
10675.96,-13.1
11367.61,-15.3
12104.07,-17.5
12888.24,-19.7
13723.22,-21.8
14612.29,-24
15558.96,-26.2
16566.97,-28.4
17640.27,-30.6
18783.12,-32.7
20000,-34.9
