# fk-top-4w-big combined meas
freq,value
40,96.8
42.59,97.5
45.35,98.1
48.29,98.7
51.42,99.2
54.75,99.6
58.3,99.9
62.07,100.2
66.09,100.5
70.38,100.7
74.93,100.9
79.79,101
84.96,101.1
90.46,101.2
96.32,101.3
102.56,101.3
109.21,101.4
116.28,101.4
123.82,101.4
131.84,101.4
140.38,101.4
149.48,101.5
159.16,101.5
169.47,101.5
180.45,101.5
192.14,101.5
204.59,101.5
217.84,101.5
231.96,101.5
246.98,101.5
262.98,101.5
280.02,101.5
298.16,101.5
317.48,101.5
338.05,101.5
359.95,101.5
383.27,101.5
408.1,101.5
434.54,101.5
462.69,101.5
492.67,101.5
524.58,101.5
558.57,101.5
594.76,101.5
633.29,101.5
674.32,101.5
718,101.5
764.52,101.5
814.05,101.5
866.79,101.5
922.95,101.5
982.74,101.5
1046.41,101.5
1114.2,101.5
1186.38,101.5
1263.25,101.5
1345.09,101.5
1432.23,101.5
1525.02,101.5
1623.82,101.5
1729.02,101.5
1841.03,101.5
1960.31,101.5
2087.31,101.5
2222.54,101.5
2366.52,101.5
2519.84,101.5
2683.09,101.5
2856.92,101.5
3042.01,101.5
3239.09,101.5
3448.93,101.5
3672.38,101.5
3910.3,101.5
4163.63,101.5
4433.37,101.5
4720.59,101.5
5026.42,101.5
5352.06,101.5
5698.8,101.5
6068,101.5
6461.13,101.5
6879.72,101.5
7325.42,101.5
7800.01,101.5
8305.34,101.5
8843.41,101.5
9416.34,101.5
10026.39,101.5
10675.96,101.5
11367.61,101.4
12104.07,101.4
12888.24,101.3
13723.22,101.2
14612.29,101
15558.96,100.7
16566.97,100.2
17640.27,99.6
18783.12,98.7
20000,97.5
