# fk-top-4w-big combined sim
freq,value
40,97.8
42.59,98.5
45.35,99.1
48.29,99.6
51.42,100
54.75,100.4
58.3,100.7
62.07,100.9
66.09,101.2
70.38,101.3
74.93,101.5
79.79,101.6
84.96,101.7
90.46,101.7
96.32,101.8
102.56,101.8
109.21,101.9
116.28,101.9
123.82,101.9
131.84,101.9
140.38,102
149.48,102
159.16,102
169.47,102
180.45,102
192.14,102
204.59,102
217.84,102
231.96,102
246.98,102
262.98,102
280.02,102
298.16,102
317.48,102
338.05,102
359.95,102
383.27,102
408.1,102
434.54,102
462.69,102
492.67,102
524.58,102
558.57,102
594.76,102
633.29,102
674.32,102
718,102
764.52,102
814.05,102
866.79,102
922.95,102
982.74,102
1046.41,102
1114.2,102
1186.38,102
1263.25,102
1345.09,102
1432.23,102
1525.02,102
1623.82,102
1729.02,102
1841.03,102
1960.31,102
2087.31,102
2222.54,102
2366.52,102
2519.84,102
2683.09,102
2856.92,102
3042.01,102
3239.09,102
3448.93,102
3672.38,102
3910.3,102
4163.63,102
4433.37,102
4720.59,102
5026.42,102
5352.06,102
5698.8,102
6068,102
6461.13,102
6879.72,102
7325.42,102
7800.01,102
8305.34,102
8843.41,102
9416.34,102
10026.39,102
10675.96,102
11367.61,102
12104.07,101.9
12888.24,101.9
13723.22,101.8
14612.29,101.7
15558.96,101.5
16566.97,101.1
17640.27,100.6
18783.12,99.9
20000,99
