# fk-top-4w-big MF2 section sim
freq,value
40,44.1
42.59,45.2
45.35,46.2
48.29,47.3
51.42,48.4
54.75,49.5
58.3,50.6
62.07,51.7
66.09,52.8
70.38,53.9
74.93,55
79.79,56.1
84.96,57.2
90.46,58.2
96.32,59.3
102.56,60.4
109.21,61.5
116.28,62.6
123.82,63.7
131.84,64.8
140.38,65.9
149.48,67
159.16,68.1
169.47,69.1
180.45,70.2
192.14,71.3
204.59,72.4
217.84,73.5
231.96,74.6
246.98,75.7
262.98,76.8
280.02,77.9
298.16,78.9
317.48,80
338.05,81.1
359.95,82.2
383.27,83.3
408.1,84.4
434.54,85.4
462.69,86.5
492.67,87.6
524.58,88.6
558.57,89.7
594.76,90.7
633.29,91.8
674.32,92.8
718,93.8
764.52,94.8
814.05,95.7
866.79,96.6
922.95,97.5
982.74,98.3
1046.41,99.1
1114.2,99.8
1186.38,100.4
1263.25,101
1345.09,101.5
1432.23,102
1525.02,102.3
1623.82,102.7
1729.02,102.9
1841.03,103.1
1960.31,103.3
2087.31,103.5
2222.54,103.6
2366.52,103.7
2519.84,103.7
2683.09,103.8
2856.92,103.8
3042.01,103.9
3239.09,103.9
3448.93,103.9
3672.38,103.9
3910.3,104
4163.63,104
4433.37,104
4720.59,104
5026.42,104
5352.06,104
5698.8,104
6068,104
6461.13,103.9
6879.72,103.9
7325.42,103.9
7800.01,103.8
8305.34,103.6
8843.41,103.4
9416.34,103
10026.39,102.5
10675.96,101.7
11367.61,100.7
12104.07,99.4
12888.24,97.9
13723.22,96.2
14612.29,94.3
15558.96,92.3
16566.97,90.2
17640.27,88.1
18783.12,86
20000,83.8
