# spl 1u
freq,value
40,92
42.59,92.9
45.35,93.8
48.29,94.7
51.42,95.5
54.75,96.2
58.3,96.9
62.07,97.6
66.09,98.1
70.38,98.6
74.93,99.1
79.79,99.4
84.96,99.7
90.46,100
96.32,100.2
102.56,100.4
109.21,100.5
116.28,100.6
123.82,100.7
131.84,100.8
140.38,100.8
149.48,100.8
159.16,100.9
169.47,100.9
180.45,100.9
192.14,100.9
204.59,101
217.84,101
231.96,101
246.98,101
262.98,101
280.02,101
298.16,101
317.48,101
338.05,101
359.95,101
383.27,101
408.1,101
434.54,101
462.69,101
492.67,101
524.58,101
558.57,101
594.76,101
633.29,101
674.32,101
718,101
764.52,101
814.05,101
866.79,101
922.95,101
982.74,101
1046.41,101
1114.2,101
1186.38,101
1263.25,101
1345.09,101
1432.23,101
1525.02,101
1623.82,101
1729.02,101
1841.03,101
1960.31,101
2087.31,101
2222.54,101
2366.52,101
2519.84,101
2683.09,101
2856.92,101
3042.01,101
3239.09,101
3448.93,101
3672.38,101
3910.3,101
4163.63,101
4433.37,101
4720.59,101
5026.42,101
5352.06,101
5698.8,101
6068,101
6461.13,101
6879.72,101
7325.42,101
7800.01,101
8305.34,101
8843.41,101
9416.34,101
10026.39,101
10675.96,100.9
11367.61,100.9
12104.07,100.8
12888.24,100.7
13723.22,100.5
14612.29,100.2
15558.96,99.8
16566.97,99.2
17640.27,98.3
18783.12,97.2
20000,95.8
