# fk-top-midhorn-12 meas
freq,value
40,32.5
42.59,35.3
45.35,38
48.29,40.7
51.42,43.4
54.75,46.2
58.3,48.9
62.07,51.6
66.09,54.3
70.38,57.1
74.93,59.8
79.79,62.5
84.96,65.2
90.46,68
96.32,70.7
102.56,73.4
109.21,76.1
116.28,78.9
123.82,81.6
131.84,84.3
140.38,87
149.48,89.6
159.16,92.2
169.47,94.6
180.45,96.9
192.14,98.9
204.59,100.4
217.84,101.6
231.96,102.4
246.98,102.9
262.98,103.2
280.02,103.3
298.16,103.4
317.48,103.4
338.05,103.5
359.95,103.5
383.27,103.5
408.1,103.5
434.54,103.5
462.69,103.5
492.67,103.5
524.58,103.5
558.57,103.5
594.76,103.5
633.29,103.5
674.32,103.5
718,103.5
764.52,103.5
814.05,103.5
866.79,103.5
922.95,103.4
982.74,103.4
1046.41,103.4
1114.2,103.3
1186.38,103.2
1263.25,103.1
1345.09,103
1432.23,102.8
1525.02,102.5
1623.82,102.1
1729.02,101.5
1841.03,100.9
1960.31,100.1
2087.31,99.1
2222.54,98
2366.52,96.7
2519.84,95.4
2683.09,94
2856.92,92.5
3042.01,91
3239.09,89.4
3448.93,87.8
3672.38,86.2
3910.3,84.6
4163.63,83
4433.37,81.4
4720.59,79.8
5026.42,78.1
5352.06,76.5
5698.8,74.9
6068,73.2
6461.13,71.6
6879.72,70
7325.42,68.3
7800.01,66.7
8305.34,65.1
8843.41,63.4
9416.34,61.8
10026.39,60.2
10675.96,58.5
11367.61,56.9
12104.07,55.2
12888.24,53.6
13723.22,52
14612.29,50.3
15558.96,48.7
16566.97,47.1
17640.27,45.4
18783.12,43.8
20000,42.2
