# fk-top-midhorn-15 sim
freq,value
40,48.6
42.59,51.3
45.35,54
48.29,56.8
51.42,59.5
54.75,62.2
58.3,65
62.07,67.7
66.09,70.4
70.38,73.1
74.93,75.9
79.79,78.6
84.96,81.3
90.46,84
96.32,86.7
102.56,89.4
109.21,92
116.28,94.6
123.82,97.1
131.84,99.3
140.38,101.3
149.48,102.9
159.16,104.1
169.47,104.9
180.45,105.4
192.14,105.6
204.59,105.8
217.84,105.9
231.96,105.9
246.98,106
262.98,106
280.02,106
298.16,106
317.48,106
338.05,106
359.95,106
383.27,106
408.1,106
434.54,106
462.69,106
492.67,106
524.58,106
558.57,106
594.76,106
633.29,106
674.32,106
718,105.9
764.52,105.9
814.05,105.9
866.79,105.8
922.95,105.8
982.74,105.7
1046.41,105.5
1114.2,105.3
1186.38,105
1263.25,104.7
1345.09,104.2
1432.23,103.6
1525.02,102.8
1623.82,101.8
1729.02,100.8
1841.03,99.5
1960.31,98.2
2087.31,96.8
2222.54,95.4
2366.52,93.8
2519.84,92.3
2683.09,90.7
2856.92,89.1
3042.01,87.5
3239.09,85.9
3448.93,84.3
3672.38,82.6
3910.3,81
4163.63,79.4
4433.37,77.8
4720.59,76.1
5026.42,74.5
5352.06,72.9
5698.8,71.2
6068,69.6
6461.13,67.9
6879.72,66.3
7325.42,64.7
7800.01,63
8305.34,61.4
8843.41,59.8
9416.34,58.1
10026.39,56.5
10675.96,54.9
11367.61,53.2
12104.07,51.6
12888.24,50
13723.22,48.3
14612.29,46.7
15558.96,45
16566.97,43.4
17640.27,41.8
18783.12,40.1
20000,38.5
