# 4U stacked, hornresp sim
# digitized from Plan CHSR-146.pdf page 3 (top graph, upper curve), ±2 dB accuracy
freq,value
15.62,110.2
15.91,110.7
16.19,111.6
16.48,112.0
16.78,112.5
17.08,113.5
17.39,113.9
17.70,114.3
18.02,115.2
18.35,115.7
18.68,116.5
19.01,117.0
19.36,117.6
19.70,118.5
20.42,119.4
20.79,120.3
21.16,120.8
21.54,121.4
21.93,122.0
22.33,122.6
22.73,123.5
23.14,124.1
23.56,124.6
23.98,125.5
24.41,126.1
24.85,126.5
25.30,127.5
25.75,128.0
26.22,128.5
26.69,129.4
27.17,130.0
27.66,130.9
28.16,131.4
28.67,131.9
29.18,132.9
29.71,133.4
30.24,134.1
30.79,135.0
31.34,135.6
31.91,136.4
32.48,137.0
33.07,137.5
33.66,138.3
34.27,138.9
34.88,139.5
35.51,140.2
36.80,141.1
37.47,141.7
38.83,142.6
40.24,143.2
41.70,143.7
44.00,144.2
52.59,144.6
66.33,145.0
73.83,145.5
80.72,146.1
83.65,146.5
93.11,146.1
96.49,145.6
100.00,145.2
103.63,144.7
107.40,144.3
111.30,143.8
115.35,143.4
119.54,142.9
123.89,142.5
128.39,142.0
135.45,141.6
140.37,140.9
145.48,140.1
148.10,138.8
150.76,137.8
153.48,135.2
156.24,132.4
159.06,130.1
161.92,126.5
164.84,127.0
167.81,128.0
170.83,129.8
173.90,130.4
177.04,131.9
180.22,132.5
183.47,133.2
186.77,134.3
190.14,134.9
207.89,134.2
215.44,133.4
219.32,132.9
227.29,131.8
231.39,131.3
235.56,130.5
239.80,129.0
244.12,128.0
248.51,126.5
252.99,123.0
257.54,122.3
262.18,127.8
266.90,130.4
271.71,132.4
276.61,135.0
281.59,135.7
291.82,136.3
313.42,135.8
324.81,135.2
336.61,133.9
348.85,133.0
355.13,132.4
368.04,132.0
374.67,131.0
381.41,129.4
388.28,127.1
395.27,125.2
402.39,125.8
409.64,127.4
417.02,128.2
424.53,128.6
432.17,129.1
447.88,129.5
455.95,130.3
464.16,130.8
481.03,129.3
489.69,127.0
498.51,121.8
507.49,119.9
516.63,118.6
525.93,118.0
545.05,119.4
554.86,119.8
575.03,119.0
585.39,114.9
595.93,113.0
606.66,113.9
617.59,115.2
628.71,117.2
640.03,121.6
651.56,123.6
663.29,125.1
675.24,124.4
687.40,123.0
699.78,119.9
712.38,116.6
725.21,114.2
751.57,118.8
765.10,120.5
792.91,119.9
807.19,118.9
821.73,117.4
836.53,116.6
851.59,110.9
947.86,111.5
964.93,113.1
982.31,115.0
1000.00,115.9
1018.01,116.4
1036.34,114.9
1093.35,112.5
1113.04,114.5
1153.49,110.3
1307.01,111.5
