# 4U stacked, hornresp sim
# digitized from Plan FAITH-118.pdf page 3 (top graph, upper curve), ±2 dB accuracy
freq,value
14.01,110.9
14.26,111.4
14.52,112.0
14.78,112.9
15.31,113.8
15.59,114.8
15.87,115.2
16.15,116.1
16.44,116.7
16.74,117.2
17.04,118.1
17.65,119.0
17.97,119.9
18.29,120.4
18.62,121.0
18.95,122.1
19.29,122.6
19.64,123.1
19.99,124.0
20.35,124.6
20.71,125.7
21.08,126.2
21.46,126.7
21.84,127.8
22.24,128.3
22.63,128.8
23.04,129.9
23.45,130.4
23.87,131.1
24.30,132.1
24.74,132.8
25.18,133.2
25.63,134.3
26.09,134.9
26.56,135.9
27.03,136.4
27.52,137.0
28.01,137.9
28.51,138.4
29.02,139.0
29.54,139.8
30.61,140.3
31.16,140.8
32.86,141.4
54.03,141.9
59.05,142.4
62.28,142.9
66.86,143.3
70.52,143.9
73.07,144.3
77.07,144.9
81.29,145.3
90.43,144.9
92.05,144.4
93.70,143.2
95.37,142.2
97.08,140.9
98.82,137.3
100.59,134.9
102.40,130.0
104.23,122.1
106.10,119.8
108.00,124.0
109.93,126.0
111.90,127.2
113.91,128.1
120.14,127.2
122.29,126.3
124.48,124.8
126.71,119.3
128.99,113.3
131.30,125.7
133.65,130.0
136.04,133.4
138.48,138.9
140.96,141.1
143.49,142.8
146.06,144.0
154.05,142.8
156.81,142.2
159.62,141.4
162.48,140.6
168.35,139.4
177.56,138.8
187.28,139.8
197.53,128.2
201.07,124.6
204.67,129.9
208.34,130.7
212.07,131.1
231.76,130.7
235.91,129.9
240.14,125.9
244.44,125.1
248.82,130.7
257.82,130.2
267.14,129.0
271.92,128.4
276.80,126.9
281.75,125.6
286.80,122.4
291.94,133.2
297.17,133.8
302.50,133.0
307.92,131.4
313.43,131.0
324.76,131.6
330.58,132.6
336.51,136.1
342.53,134.9
348.67,127.3
354.92,114.9
367.75,114.2
374.34,114.8
381.05,125.3
387.87,135.2
401.90,132.6
409.10,130.9
416.43,130.3
423.89,131.4
431.48,136.4
439.21,134.1
447.08,125.7
463.24,110.8
471.54,125.0
479.99,133.0
497.35,131.3
506.26,128.0
515.33,128.8
524.56,133.7
533.96,127.9
543.52,115.7
563.17,116.2
573.26,125.9
583.53,127.1
593.99,124.2
604.63,123.1
615.46,125.3
626.49,117.3
637.72,114.9
660.77,114.3
672.61,116.7
684.66,116.2
696.93,115.2
709.41,119.7
722.12,118.9
735.06,119.8
748.23,122.6
761.64,116.0
789.17,116.9
803.31,124.1
817.70,121.8
847.27,123.2
862.45,116.3
877.90,116.9
893.63,123.9
909.64,119.9
925.94,121.3
942.53,115.3
976.60,121.3
994.10,118.1
1011.91,117.0
1030.04,113.2
1105.86,110.2
1125.68,111.4
1145.85,113.1
1166.37,111.3
1187.27,113.1
1208.54,112.7
1230.20,114.0
1252.24,111.8
1297.51,113.6
1320.76,115.9
1344.42,112.6
1663.72,110.8
1693.53,112.1
1723.87,110.9
1754.75,110.3
