# CATT Acoustic sim MHB46RC, Uin=2.83V/1m at 1m (H=0° V=0°)
# digitized from Plan MHB-46.pdf page 1, ±2 dB accuracy
freq,value
35.52,87.1
41.63,89.8
61.40,90.2
62.07,90.7
62.41,91.1
62.76,91.4
63.45,91.9
63.79,92.2
64.14,92.6
67.01,95.5
67.38,95.9
67.75,96.3
68.50,96.9
68.87,97.2
69.25,97.7
69.63,98.1
70.40,98.8
71.17,99.6
74.36,102.8
74.76,103.6
75.17,104.1
75.59,104.4
76.00,104.7
76.42,105.0
76.84,105.4
77.26,105.8
78.11,106.3
78.97,106.8
79.84,107.1
81.60,107.6
85.25,107.2
88.58,106.8
91.54,106.4
102.69,106.8
106.11,107.1
112.08,107.7
117.74,108.1
129.92,107.8
136.48,107.5
144.16,107.1
157.34,107.5
162.60,108.0
165.29,108.3
168.94,108.7
177.47,110.1
179.42,110.5
183.39,110.8
197.99,109.6
199.08,109.2
201.27,108.8
203.48,108.4
205.72,107.9
207.99,107.5
209.13,107.2
219.68,105.8
224.54,105.4
245.09,106.4
249.14,106.8
253.27,107.1
273.43,105.2
274.93,104.9
276.44,104.5
279.48,104.1
282.55,103.7
285.66,103.3
288.81,102.8
306.72,103.2
311.80,103.8
315.23,104.3
318.70,104.7
322.20,105.1
327.54,105.4
338.47,104.4
342.19,104.0
345.96,103.6
351.68,103.2
377.61,104.0
381.76,104.5
383.86,104.8
390.21,104.2
392.35,103.7
394.50,102.8
396.67,102.5
398.84,102.0
409.90,101.2
469.99,100.8
475.16,100.4
480.39,100.0
488.34,99.5
521.48,97.9
524.34,97.5
527.21,97.2
533.01,96.8
